,ISO_A3,year,cluster,0,1,2,3,4,5,6,7,8,9
138,GMB,2022,1.0,0.07058308,0.13835253,0.11644224,0.13657011,0.07592762,0.048104968,0.14454786,0.11577671,0.10147132,0.052223545
139,GMB,2023,1.0,0.06361272,0.08428567,0.046623815,0.282733,0.20788041,0.023863638,0.08731135,0.058734447,0.09143821,0.053516738
140,GNQ,2018,1.0,0.010046339,0.6598384,0.010047509,0.010049083,0.010046991,0.010046071,0.25978267,0.01004946,0.010047213,0.010046266
141,GNQ,2022,1.0,0.099999994,0.099999994,0.1,0.1,0.09999999,0.10000001,0.099999994,0.10000001,0.099999994,0.10000001
142,GTM,2016,1.0,0.03704491,0.0370497,0.09519044,0.037059758,0.037048936,0.03704816,0.037045646,0.21507661,0.037046287,0.43038955
143,GTM,2017,1.0,0.020140447,0.22261766,0.020143883,0.020139804,0.24770157,0.02014583,0.020140843,0.020142728,0.38868648,0.02014081
144,GTM,2018,1.0,0.06836933,0.08182639,0.063364066,0.10762893,0.09002859,0.05427854,0.111721255,0.09664572,0.21917723,0.10695993
145,GTM,2019,1.0,0.079202145,0.08696303,0.06336006,0.08814871,0.12526783,0.11410031,0.057861578,0.10470536,0.18375984,0.096631125
146,GTM,2020,1.0,0.108677246,0.10813262,0.058628857,0.11636641,0.1225992,0.0567996,0.08731196,0.12007088,0.19025792,0.031155314
147,GTM,2021,1.0,0.06450298,0.13700509,0.051406287,0.090791404,0.10254139,0.05667817,0.09703954,0.14129475,0.18317465,0.07556574
148,GTM,2022,1.0,0.061471447,0.12801152,0.043069728,0.09478354,0.0920657,0.07630224,0.13291574,0.14256357,0.14738762,0.0814289
149,GTM,2023,1.0,0.069563836,0.15988809,0.06421266,0.08355085,0.09753393,0.074728735,0.11104822,0.14321594,0.12935802,0.0668997
150,GUY,2018,1.0,0.014460814,0.014460596,0.014458775,0.35210845,0.21703534,0.080840655,0.15339136,0.01445846,0.12432826,0.0144572975
151,GUY,2019,1.0,0.050571155,0.09473383,0.039911028,0.09821147,0.08913914,0.10546753,0.14911178,0.16783968,0.14456227,0.060452115
152,GUY,2020,1.0,0.16372319,0.12744379,0.020941839,0.25596598,0.02094225,0.14321259,0.020941546,0.052511033,0.15017672,0.044141036
153,GUY,2021,1.0,0.065594345,0.07833267,0.038388874,0.06647556,0.062374916,0.081001915,0.2141828,0.057151843,0.3017845,0.034712575
154,GUY,2022,1.0,0.035252906,0.21633609,0.07965296,0.22390978,0.064982966,0.045717973,0.054656364,0.08005091,0.16995856,0.029481506
155,GUY,2023,1.0,0.017808197,0.15310109,0.081579156,0.1263096,0.1358469,0.1724807,0.19070421,0.03109477,0.043244805,0.047830567
156,HND,2018,1.0,0.03852122,0.05161189,0.08438561,0.11719732,0.23528346,0.020095836,0.020097753,0.12939729,0.17668653,0.12672308
157,HND,2019,1.0,0.09487101,0.13696018,0.07761429,0.050353866,0.14386177,0.036299385,0.056427773,0.22670762,0.11962665,0.05727745
158,HND,2020,1.0,0.07913795,0.15040532,0.08980179,0.20770136,0.0660189,0.057970814,0.054189514,0.07807755,0.18400009,0.03269674
159,HND,2021,1.0,0.059043452,0.14891364,0.06396629,0.0757257,0.1210933,0.05716579,0.10575251,0.12718856,0.16027312,0.08087764
160,HND,2022,1.0,0.07247109,0.13330373,0.052898854,0.08741531,0.1291173,0.055370353,0.1006292,0.12003788,0.14538805,0.10336823
161,HND,2023,1.0,0.07349705,0.108879864,0.05337516,0.10677908,0.096874535,0.06487689,0.07632438,0.116029866,0.2005676,0.10279556
162,HTI,2018,1.0,0.17783591,0.08347522,0.05769658,0.021298772,0.021300508,0.02129959,0.021301435,0.122559175,0.451931,0.021301847
163,HTI,2019,1.0,0.1533357,0.1043447,0.073154084,0.09806514,0.0123602385,0.054514278,0.115502045,0.14542696,0.07343296,0.1698639
164,HTI,2020,1.0,0.05205694,0.05348776,0.056618817,0.044058442,0.045724556,0.07396895,0.25213996,0.24346516,0.08774006,0.09073937
165,HTI,2021,1.0,0.014917382,0.107415184,0.040483993,0.014917326,0.014917364,0.06422235,0.2454847,0.17293708,0.23360905,0.091095574
166,HTI,2022,1.0,0.077986374,0.21394981,0.123829514,0.015493006,0.05062043,0.17301248,0.015492227,0.11965269,0.11943143,0.09053202
167,IRQ,2018,1.0,0.040291686,0.080496304,0.03236611,0.1294256,0.06291957,0.29462117,0.04131553,0.10037403,0.14066185,0.07752816
168,IRQ,2019,1.0,0.0582526,0.13107371,0.057388943,0.23678897,0.07233753,0.05567057,0.08862828,0.111616835,0.084168166,0.10407441
169,IRQ,2020,1.0,0.10981753,0.07954982,0.07783329,0.1274542,0.07893385,0.09481856,0.14232473,0.09690948,0.12615287,0.06620566
170,IRQ,2021,1.0,0.061687306,0.14744699,0.045576323,0.11835049,0.0854545,0.055877894,0.14574686,0.106873535,0.17481296,0.058173146
171,IRQ,2022,1.0,0.06031058,0.12678865,0.033743676,0.071869425,0.059351016,0.03980127,0.3655021,0.085785545,0.100680046,0.056167737
172,IRQ,2023,1.0,0.071285866,0.09204779,0.027135324,0.054579996,0.29127187,0.055442393,0.11045158,0.08110322,0.09324687,0.12343509
173,JOR,2018,1.0,0.024624726,0.14653902,0.049808227,0.16445719,0.105556555,0.047230385,0.1999266,0.09720163,0.12857686,0.03607878
174,JOR,2019,1.0,0.06192857,0.09065108,0.05985409,0.13187121,0.13179667,0.051979013,0.20883118,0.08597722,0.117910214,0.05920075
175,JOR,2020,1.0,0.09084685,0.10959702,0.046648737,0.089743376,0.07595721,0.09801597,0.18459326,0.110389225,0.14456148,0.04964686
176,JOR,2021,1.0,0.07739138,0.13759556,0.06584071,0.13642067,0.07976253,0.07114212,0.109918624,0.11350443,0.15570009,0.05272385
177,JOR,2022,1.0,0.077075645,0.1243614,0.050379172,0.092006706,0.11681719,0.096996486,0.12234541,0.12711845,0.115462825,0.07743671
178,JOR,2023,1.0,0.099332936,0.10927328,0.04788377,0.06877223,0.06114002,0.056116927,0.14240862,0.1389295,0.09079164,0.18535106
179,KEN,2015,1.0,0.010005782,0.010005634,0.33953747,0.010004933,0.010004497,0.15141565,0.010005192,0.010006377,0.010004989,0.43900946
180,KEN,2016,1.0,0.24321236,0.012569567,0.01257228,0.012570709,0.012569388,0.012569172,0.012569246,0.65622175,0.012571002,0.012574567
181,KEN,2017,1.0,0.099999994,0.099999994,0.099999994,0.1,0.099999994,0.1,0.099999994,0.1,0.099999994,0.1
182,KEN,2018,1.0,0.109827,0.09956942,0.15308231,0.1284124,0.10924671,0.054938413,0.09693642,0.09150806,0.10667813,0.049801152
183,KEN,2019,1.0,0.19337313,0.050855547,0.35428244,0.07854171,0.051905043,0.03610724,0.06274788,0.06284387,0.0749811,0.03436204
184,KEN,2020,1.0,0.2699674,0.05465523,0.31863526,0.06557446,0.039642036,0.03163723,0.054457024,0.059025086,0.07311101,0.033295274
185,KEN,2021,1.0,0.31046954,0.060768172,0.29099572,0.056162026,0.04225341,0.029574804,0.05681801,0.05368384,0.06870609,0.030568419
186,KEN,2022,1.0,0.16277769,0.09902157,0.15469049,0.09133575,0.09628671,0.04546641,0.06919743,0.06925231,0.10631713,0.1056545
187,KEN,2023,1.0,0.15001003,0.09778638,0.19733909,0.097717285,0.071222685,0.053566456,0.07908474,0.07419986,0.11745792,0.06161553
188,KGZ,2018,1.0,0.08069746,0.37672713,0.08146569,0.105706476,0.22201757,0.04318952,0.013658026,0.013658012,0.013657903,0.049222186
189,KGZ,2019,1.0,0.11113329,0.17306359,0.03794888,0.119532794,0.14801344,0.046325635,0.08755389,0.11364806,0.13251083,0.03026963
